大图编码,小图编码,版本,飞行,名称,中国区获得方法,国际服获得方法,说明,new
068129.tex,004129.tex,4.4,1,猫大胖,道具商城购买,,长得肥肥的大猫。它摇晃着那巨大的身体撼动着大地与天空，纵横无尽地四处飞奔。感觉已经变成像是猫妖一样的生物，不过身上的脂肪和皮毛给骑乘的人带来非常舒服的体验，所以细节的事情就不要在意了。,0
068127.tex,004127.tex,4.3,1,幽夜神威,月读幽夜歼灭战-稀有掉落,,受到夜神的祝福，散发着月光之力的巨狼。它的出现有可能是由于以帝国军设施为领地的野生狼受到了夜神以太的影响。,0
068126.tex,004126.tex,4.35,1,绝地,完成成就「真正英雄的证明」,,在天之御柱中发现的健壮的军马。被古代的君王所钟爱，称其为“快到离开地面的骏马”并得名绝地。事实上，绝地可以在风水术的帮助下在空中飞翔。,0
068125.tex,004125.tex,4.35,1,火龙,"火龙上位狩猎战-稀有掉落<br/>或猛汉加工屋 黄金港（X:9.8,Y:8.9）<br/>「火龙的上鳞」50枚交换",,被誉为空之王者的飞龙种，可以喷吐出炽热的吐息。<br/>据说在遥远的异国他乡，有很多猎人为了得到它身上的鳞片等素材而孜孜不倦地狩猎着。,0
068124.tex,004124.tex,4.35,1,原型运输器,群狼盛宴第八赛季，单人排位名次前一百名,,在加雷马帝国魔导院完成开发的次世代运输平台。本机为试做机，跟之后量产的型号相比运用了更高品质的钢材。但是基本性能没有很大差别。,0
068123.tex,004123.tex,4.35,1,魔导运输器,群狼盛宴第七赛季，单人排位名次前一百名,,在加雷马帝国魔导院完成开发的次世代运输平台。运用了飞空艇技术，乘坐感极为舒适。令人忍不住会“哈哈哈……”地笑出来。另外本机为纯粹的运输用机体，因此不具备任何战斗能力。,0
068122.tex,004122.tex,4.35,1,渡渡鸟,天之御柱-「白金宝藏」稀有掉落,,被认为已在东方地域灭绝的幻之陆鸟。为了适应天之御柱上层的封闭环境而获得了超越种族界限的飞行能力。以和冒险者的相遇为契机，下定决心要去外界展翅翱翔。,0
068120.tex,004120.tex,4.3,1,护送系统,完成成就「常在战场5」,,圣寇伊纳克财团所挖掘出来的古代亚拉戈帝国球形运输系统。<br/>在更新操作系统之后，安全面得到了强化。与以往的型号相比，美中不足的是操作界面发生了改变。,0
068119.tex,004119.tex,4.35,1,须鲸,道具商城购买,,栖息于琉璃洋的大型生物。会成群结伴移动很远的距离前往外洋觅食。和斑鳐同样，须鲸也会将身体作为以太翼一样进行飞翔。因为身体巨大，所以可以轻松承载好几个人。,0
068118.tex,004118.tex,4.3,1,巨鲶鱼神轿,鲶鱼精友好度到达-誓约后<br/>在该友好部族商店商店用20枚鲶鱼小判兑换,,在大鲶大祭中使用的浮空前进式神轿。<br/>神轿顶端装饰着金光闪闪的鲶鱼精祖先——巨鲶鱼大人的雕像，<br/>完美重现了鱼信在梦境中遇见的巨鲶鱼大人的身姿。<br/>神轿还附有对冒险者忠心耿耿的8位鲶鱼精轿夫跟随。,0
068117.tex,004117.tex,4.3,1,空军装甲,欧米茄零式时空狭缝 西格玛幻境4-稀有掉落,,西格玛幻境制造出的谜之飞行器。似乎是某个国家开发的，不过详细无从得知。由于机头被画上了鲨鱼张着嘴的涂鸦，看上去还有点可爱。,0
068116.tex,004116.tex,4.25,1,暴龙,常风地带上锁的宝箱-稀有掉落,,被人叫做“暴君”的古代肉食兽，由于长时间沐浴在瓦尔岛的风属性以太中，拥有不可思议的浮游能力。虽然性格凶暴无比，但会服从认定了实力的冒险者。,0
068115.tex,004115.tex,4.4,1,飞天半心椅（左）,2019年恋人节奖励,,为了庆祝恋人节而特制的飞天椅。是以前恋人节剩下的半心椅改良而成。听说是莉赛特为了实现飞在天上的蜜月而费尽心力开发的。,0
068114.tex,004114.tex,4.4,1,飞天半心椅（右）,2019年恋人节奖励,,为了庆祝恋人节而特制的飞天椅。是以前恋人节剩下的半心椅改良而成。听说为了让椅子浮起来，瓦伦提昂家动员家里所有人栽培白云花。,0
068113.tex,004113.tex,4.2,1,真狮鹫,阿难陀族友好度到达-誓约后<br/>在该友好部族商店商店用18枚魔金锡币兑换,,原产于阿巴拉提亚山脉的有翼魔兽。由阿拉米格解放军的驯兽人基弗用心养育。可以听从骑手的命令扇起突风。另外，这只真狮鹫这么白似乎是品种原因。,0
068112.tex,004112.tex,4.2,1,魔象,阿难陀族友好度到达-誓约后<br/>在该友好部族商店商店用18枚魔金锡币兑换,,被阿难陀族使役的大型兽。身披魔力纤维织成的魔法绒毯，能够借助魔力浮游。当然魔象是不会飞的，更不会靠扇动耳朵来飞。,0
068111.tex,004111.tex,4.2,1,拘束型魔导死亡爪,"成就报酬-6枚成就币<br/>格里达尼亚旧街（X:10.6 , Y:6.3）乔纳森处兑换",,帝国将亚拉戈的古代兵器钢铁之爪改进后设计出的魔导兵器。配备给特务宪兵队的这台拘束型经过特别调整，可以拘束犯人将其带走。,0
068110.tex,004110.tex,4.2,1,白帝神威,白虎诗魂战-稀有掉落,,被四圣兽之白虎灌输了神通力的巨狼，周身刮着永不停息的天风。据说是白虎镇压了为祸人间的巨狼后诞生的。,0
068109.tex,004109.tex,4.2,1,赤兔马,道具商城购买,,赤兔马是统一延夏的名将岩燕的爱马。传说岩燕通过自创的风水术令赤兔也学会了飞上天空的技巧。据说这匹马继承了当年那匹赤兔的血统，不过无人能够分辨是真是假。,0
068108.tex,004108.tex,4.1,1,叶大妖,"750,000金碟币兑换",,茁壮成长后的叶小妖。一直在寻找理想中的住所，最终来到了金碟游乐场。在穿越撒沟厉沙漠的时候差一点干枯而死，没想到吸水后反弹，得到了让人目瞪口呆的巨大身体。,0
068107.tex,004107.tex,4.1,1,魔导复仇者骑乘型,完成成就「凯旋之翼3」,,哥布林族改良的帝国制无人魔导兵器。原本是无人机，后来被哥布林族得到。哥布林族为了将其用于骑乘而对其进行了改造，就变成了现在的样子。只是不太明白这究竟算是高科技还是低科技。,0
068106.tex,004106.tex,4.1,1,飞行座椅,炼金术士Lv70，2星生产配方<br/>材料「白云花」云海探索掉落（云海23）,,施了魔法的飞天座椅。飞行高度更高，但质量并没有变。工匠们时刻发明实用的设计与配方，要将手工制作的成品送给全世界的冒险者。多给的内六角扳手让人觉得十分周到。,0
068105.tex,004105.tex,4.1,1,黄水晶宝石兽,道具商城购买,,自称天才秘术师的乌兰创造出的用于骑乘的魔法生物，运用了培育大型宝石兽“钻石”所积累的知识。由于宝石兽的核心使用了大颗的黄水晶，所以即使不是秘术师也可以将其召唤出来。,0
068104.tex,004104.tex,4.1,1,海蓝宝石兽,道具商城购买,,自称天才秘术师的乌兰创造出的用于骑乘的魔法生物，运用了培育大型宝石兽“钻石”所积累的知识。由于宝石兽的核心使用了大颗的海蓝石，所以即使不是秘术师也可以将其召唤出来。,0
068103.tex,004103.tex,4.1,1,斑鳐,甲人族友好度到达-誓约后<br/>在该友好部族商店商店用12枚珊瑚币兑换,,由甲人族的饲鳐员训练出来的斑鳐。整个扁平的身体发挥了以太翼的功能，借助水属性与风属性以太，既可以在水中游泳，也可以在空中飞行。由于被优哉游哉的碧甲族饲养长大，性格十分敦厚。,0
068102.tex,004102.tex,4.x,1,星芒熊,2018年星芒节奖励,,星芒节执行委员贝恩费尔德饲养的熊，名叫帝星。为了哄孩子们开心而学会了投掷礼花筒的技艺，还用这招教训了偷窃星芒节装饰物的树精。,0
068101.tex,004101.tex,4.1,1,梦幻神威,神龙歼灭战-稀有掉落,,受到神龙的祝福，散发着神圣光芒的巨狼。它的出现有可能是由于阿拉米格军犬被神龙之光照射到了。,0
068097.tex,004097.tex,4.x,1,风火轮,道具商城购买,,传说中的英雄所使用的宝物。因二轮均能够喷风生火，故名风火轮，移动速度极快，踏在脚下可以日行千星里。虽然飞行时看起来火苗很大，但是并不会烧到人或物。,0
068096.tex,004096.tex,4.x,1,伊克西翁,"参加FATE「传说中的雷马——伊克西翁」并获得：伊克西翁的雷角12个<br/>神拳痕（X:13.8 , Y:11.8）艾西娜，兑换",,基拉巴尼亚地区传说中的古代幻兽。在星导教的教义中，它是破坏神拉尔戈的爱马，但来自玛哈的魔法书却将其记载为由魔具强化过的生物。唯一可以确定的就是它具备操纵雷电的能力。,0
068095.tex,004095.tex,4.x,1,兵团虎,完成成就「怪物猎人传奇」,,在百家兵团训练的猛虎。曾经有一名怪物猎人在讨伐恶名精英的食人虎时发现了其幼崽，出于同情便将它保护起来，交给了兵团的团员养育。经历过魔法训练，可以在空中飞行。,0
068094.tex,004094.tex,4.05,1,老者,欧米茄零式时空狭缝 德尔塔幻境4-稀有掉落,,欧米茄创造的类生物体，其名与某古典小说中的老魔法师一致。小说中该魔法师能够变身为龙的姿态，因此欧米茄也将老者创造为了龙的造型。,0
068093.tex,004093.tex,4.x,1,胡鹰,完成主线Lv65“巴儿达木霸道的试炼”,,栖息在太阳神草原山区的怪鸟。将巴儿达木霸道视为自己的地盘，将进入者视为自己的猎物。虽然是非常狰狞的猛禽，但只要是它承认的实力者，它就会把对方当成狩猎的朋友，并允许对方骑在自己背上。,0
068092.tex,004092.tex,4.x,1,斗豹,完成成就「为人民服务的暗黑骑士3」,,专门为了战斗而训练的军用黑豹。通过本能操纵魔力的黑豹对暗黑骑士而言堪比自然界之师。据说在历代的暗黑骑士中，还有人与黑兽为友，仿若黑影一般，四处奔走行使正义。,0
068091.tex,004091.tex,4.x,1,斗熊,完成成就「为人民服务的战士3」,,专门为了战斗而训练的军用大熊。虽然被称为北阿巴拉提亚山脉之主，但据说面对驯服了原初之力的真正战士时，只需要四目相交就能让它臣服。想必是它那野生的直觉在瞬间便感受到了能力高低的缘故吧。,0
068090.tex,004090.tex,4.x,1,斗狮,完成成就「为人民服务的骑士3」,,专门为了战斗而训练的军用狮子。乌尔达哈的近卫兵团“银胄团”为了复兴过去的传统而将其选为了坐骑。在从近东萨维奈邀请到的驯兽师的调教下，已经养成了完美的举止。,0
068089.tex,004089.tex,4.x,1,魔导猎手,鏖战红莲 阿拉米格-稀有掉落,,被人丢弃在阿拉米格城郭内的魔导猎手。虽然是以魔导死神为原型制作出来的强化近战能力与生产力的类型，但这台机体看上去却像是省略了武装，将剩余输出全部分给飞行功能的试制样品。,0
068088.tex,004088.tex,4.x,1,狂欢神威,须佐之男歼殛战-稀有掉落,,受到豪神须佐之男的祝福，散发着豪放之气的巨狼。它的出现有可能是因为甲人族把巨狼当成供品献给蛮神的缘故。,0
068087.tex,004087.tex,4.x,1,极乐神威,吉祥天女歼殛战-稀有掉落,,受到美神吉祥天女的祝福，散发着高贵光芒的巨狼。它的出现有可能是因为阿难陀族把巨狼当成供品献给蛮神的缘故。,0
068086.tex,004086.tex,4.05,1,飞隼号,4.0开启后，累积续费满3个月,,加隆德炼铁厂生产的小型试制飞空艇，由该厂干劲十足的机械师魏吉开发，目标是成为世界上最快的单座式飞空艇，但却在挑战极限的飞行测试中不幸坠落。现在已经装上了限制器。,0
068085.tex,004085.tex,4.x,1,希尔德拉,4.0电子典藏包-购买获得,,相传生活在大洋里的梦幻海龙。它的模样与传说中为自己的女海盗朋友拖拽海盗船的海龙一模一样。虽然不能像龙族那样说话，但据说只要被它视为了朋友，就能与它心意相通。,0
068084.tex,004084.tex,3.5,1,贤者座椅,"750,000金碟币兑换",,浮在空中的不可思议的座椅。是从龙堡参天高地的萨雷安遗迹中发现的。似乎是为了在迦巴勒幻想图书馆中拿到高处的书籍而制造出来的魔法道具。,0
068083.tex,004083.tex,3.x,1,首领妖精犬,群狼盛宴第四赛季，团队赛排名奖励,,生活在虚无界的狰狞魔兽。闪着银光的皮毛被深沉的黑暗染成了诡异的色调。虽然一直以首领的身份行走在危险的世界中，但据说浑身充满冰冷杀气的身经百战的强者却能够得到它的允许，骑在它的身上。,0
068082.tex,004082.tex,3.x,1,孤傲妖精犬,群狼盛宴第四赛季，单人排位名次前一百名,,生活在虚无界的狰狞魔兽。闪着银光的皮毛被猎物的血染成了妖艳的色调。虽然一直独自行走在危险的世界中，但据说浑身充满灼热斗气的身经百战的强者却能够得到它的允许，骑在它的身上。,0
068081.tex,004081.tex,3.55,1,首领地狱犬,群狼盛宴第三赛季，团队赛排名奖励,,生活在虚无界的残暴魔兽。率领众多魔兽在危险的世界连战连胜，散发出令人战栗的威慑感。想必只有浑身充满冰冷杀气的身经百战的强者才能够得到它的允许，骑在它的身上。,0
068080.tex,004080.tex,3.55,1,孤傲地狱犬,群狼盛宴第三赛季，单人排位名次前一百名,,生活在虚无界的残暴魔兽。从不追随任何妖异，以一己之力在那危险的世界存活，目光十分锐利。想必只有浑身充满灼热斗气的身经百战的强者才能够得到它的允许，骑在它的身上。,0
068079.tex,004079.tex,3.5,1,彩蛋系统,2018年复活节奖励,,用不可思议的力量浮在空中的彩蛋。是诺诺塔他们为了实现吉莉·阿里亚珀的梦境而用圣寇伊纳克财团发掘的古代文明遗物改造的。,0
068078.tex,004078.tex,3.5,1,凤凰,搜集全部蛮神鸟后，去田园郡找想要带路的冒险者（x12y11）<br/>完成任务「凤鸣朝阳」,,在东洲传说有这样一种神鸟——每当它寿命将至，就会用如同太阳一般耀眼的金色火焰烧尽自己，然后从灰中复活。虽然人类可以通过仙人制作的魔笛向凤凰发出呼唤，但是万鸟之主仅会回应它认可的英雄。,0
068077.tex,004077.tex,3.5,1,厉鬼猎鹰,祖尔宛歼殛战-稀有掉落,,受到鬼神祖尔宛祝福，全身缠绕着惊人杀气的巨隼。根据南方大陆人马族的传说，当与邪恶敌人开战前，鬼神会派遣它来宣告正义的裁决。,0
068076.tex,004076.tex,3.5,1,雷刚,完成成就「雷刚」,,只有经过无数战场洗礼的真正强者才配拥有的魔导马。雷刚比其他魔导马都要强壮，其装甲闪耀着黑色的光芒，似乎象征着背负的罪业……,0
068075.tex,004075.tex,3.5,1,银牙,完成成就「银牙」,,装甲闪耀着银色光芒的魔导马。只有斩杀了无数敌人并且通过“内心的试炼”的强者才被允许骑乘。,0
068074.tex,004074.tex,3.5,1,轰天,完成成就「轰天」,,装甲闪耀着金色光芒的魔导马。只有通过“内心的试炼”的强者才被允许骑乘。,0
068073.tex,004073.tex,3.4,1,阿里达乌斯,通关亚历山大机工城零式:天动篇4层,,使用亚历山大机神城内部的设备自动生成的攻击性终端。据说是用于时间干涉攻击而制造出来的。在激烈的战斗过后，对其进行了改造，解除了武装，现在可以作为骑乘工具来使用。,0
068072.tex,004072.tex,3.4,1,黑天马,死者宫殿151-200层「金饰宝藏」一定几率开出,,十分罕见的黑色天马，据说是在曾属于魔大陆一部分的传承之地发现的。如果是庸人骑在它的背上将会必死无疑，因此也称它是黑死马。,0
068071.tex,004071.tex,3.4,1,睿智猎鹰,索菲亚歼殛战-稀有掉落,,受到女神索菲娅祝福，散发着神圣氛围的巨隼。传说，当世间陷入混乱之际，女神会派遣神鸟播撒天平的砝码，来确保平衡。另外还有种说法称，这“砝码”指的就是生于人世的“英雄”。,0
068070.tex,004070.tex,3.5,1,仙术熊猫,道具商城购买,,从东洲奥萨德次大陆山岳地带深处的“蛇口”来到这里的熊猫。相传已经活了一千年，学会了仙术，能用不可思议的力量浮在空中。它似乎在寻找能够拯救东洲危机的英雄。,0
068069.tex,004069.tex,3.35,1,维斯帕前进号,妖怪手表联动,,以妖怪管家维斯帕的形象设计的改良型小型飞空艇。上面的华丽装饰是为了表彰与众多妖怪成为朋友并共同突破试炼这一伟业。据说是异国的诗人和来自异国的总裁赠予的礼物。,0
068068.tex,004068.tex,3.35,1,颅浮巨像,通关副本「死者宫殿」10次-用10个低保找NPC换取,,向巨大的头颅雕像中注入了魔法而创造出的浮空型巨像兵。据说是角尊艾·乌纳在研究无限城文明的雕像型守护者的过程中实验创造出的。至于这尊头颅雕像的创作主题，知情人士对此全都缄口不言。,0
068067.tex,004067.tex,3.35,1,逐月幻狼玛纳加尔姆,圣诞雪球大作战,,古老的幻兽，人们都以为这种生物早已灭绝。在阿巴拉提亚山脉的民间传说中，这种生物总是在追逐月亮，并且能够吞噬阳光。而事实上，玛纳加尔姆有着非常强大的魔力，能够发出幻象之火，还能够在天空中驰骋。,0
068066.tex,004066.tex,3.3,1,浮空系统,完成成就“荣誉之战5”后获得,,库尔札斯东部低地发掘出来的古代亚拉戈帝国的通用球形防卫系统。虽然已经无法作为兵器使用了，但还是可以用来骑乘的。美中不足的是，每次启动都会自动推荐自卫系统的升级。,0
068065.tex,004065.tex,3.3,1,暗黑猎鹰,尼德霍格传奇征龙战-稀有掉落,,沐浴了邪龙尼德霍格的魔力，得到了暗之翼的巨隼。切碎雷云在天空中飞舞的姿态被人误认为是君临龙族的七大天龙之一。甚至会让目击者以为邪龙再临，慌张地准备逃跑。,0
068064.tex,004064.tex,3.35,1,维斯帕号,妖怪手表联动,,以妖怪管家维斯帕的形象设计的小型飞空艇。加入了金碟游乐场游乐设施的概念要素，据说可活动的部件很多，且性能很高。虽然座位的空间看上去狭小，但实际坐上去非常舒服。,0
068063.tex,004063.tex,3.3,1,孢云棉花糖,莫古力族友好度到达-誓约后<br/>在该友好部族商店商店花20万游戏币购买,,生长在云海的浮行性植物“轻飘飘浮草”。生活在莫古力之家的莫古力施以魔法，将其作为坐骑使用。此外，它的绒毛对莫古力族有治愈效果。,0
068062.tex,004062.tex,3.35,1,胖莫古力,道具商城购买,,胖莫古力闪亮登场！吃光了森林，最终变成了如此庞大的身躯。即使胖成这样还能飞是多亏了魔法的力量，他自己的翅膀已经起不了什么作用了。,0
068061.tex,004061.tex,3.3,1,天阳马阿斯特洛珀,完成成就“可靠的前辈6”后获得,,阿斯特洛珀经过长时间的进化，成长为了可以驮动两个人的大型天马。本来是很凶猛的野兽，连接近都很困难。但是对那些拥有献身精神的善良之士会敞开心扉。,0
068060.tex,004060.tex,3.2,1,初代胖陆行鸟,道具商城购买,,胖陆行鸟闪亮登场！虽然近来黄色羽毛的个体比较常见，但作为超级贪吃的陆行鸟大前辈，初代胖陆行鸟的毛色却是白色的。由于它来者不拒的性格，除非吃到撑死，不管是武器还是防具都会吃给你看。,0
068059.tex,004059.tex,3.5,1,筋斗云,道具商城购买,,据说是隐居在东洲奥萨德大陆边境深山中的某位伟大仙人所创造的秘术，用魔力将云朵固定在一起，然后便可以乘着它飞翔在天空中。只有天生拥有魔法才能而且心地善良的人才能驾驭它。,0
068058.tex,004058.tex,3.2,1,荣耀号,完成成就“磨砺利爪4”后获得,,年轻而富有才华的技师塔塔拉姆所设计的小型单人式飞空艇，是将他的祖父塔塔诺拉毕生追求的螺旋桨型飞空艇以最新技术小型化后的产物。名称来源于某本小说中的一艘“能自由飞翔于空中的船”。,0
068057.tex,004057.tex,3.2,1,战争猎鹰,萨菲洛特歼殛战-稀有掉落,,受到魔神萨菲洛特的祝福，威风堂堂的巨隼。据说在南方大陆美拉西迪亚的树状种族神话体系中，原初之树“世界树”的种子被播撒到世界各地，令整个世界枝叶繁茂，而它就是用来播撒世界树种子的灵鸟。,0
068056.tex,004056.tex,3.2,1,圆桌猎鹰,圆桌骑士幻想歼灭战-稀有掉落,,受到骑神托尔丹的祝福，充满圣骑士风格装扮的巨隼。这种装扮想必是来源于伊修加德的骑士们自古以来喜爱猎鹰的传统。它犀利的目光不会放过地面上的任何猎物。,0
068055.tex,004055.tex,3.2,1,怒武猎鹰,罗波那歼殛战-稀有掉落,,受到武神罗波那的祝福，全身缠绕着令人战栗的斗气的巨隼。它在空中飞翔时那撕裂狂风的凛然身姿，仿佛让人联想到月剑“明月之笑”。要想驯服它，恐怕需要有和武神相当的霸气才行。,0
068054.tex,004054.tex,3.2,1,白云猎鹰,俾斯麦歼殛战-稀有掉落,,受到云神俾斯麦的祝福，全身包裹着腾云的巨隼。其用途似乎是像腾云蛇一样，用来将瓦努族的战士送至云神身边。那云朵一般悠然飞舞在天空之中的身姿，宛如拂面而来的东风一般美丽。,0
068053.tex,004053.tex,3.25,1,贝努鸟,道具商城购买,,经过第七灵灾时现身于加尔提诺上空的不死鸟的以太沐浴而得以重生的怪鸟。因其外形酷似幻之灵鸟而得名“贝努”，意为“绚丽起舞的闪光之物”。,0
068052.tex,004052.tex,3.2,1,祖,飞空艇探索云海24一定几率带回「远航白钢通货」<br/>在三大住宅区的住宅区管理人处兑换,,来自近东的怪鸟祖的成鸟。嘴部呈锯齿状并生有利牙，是为了牢牢捕获住挣扎的野兽。当它咬住猎物后，便会来回甩动长长的脖子，弄死猎物后再一口吞掉。,0
068051.tex,004051.tex,3.2,1,恐甲蚂蜓,骨颌族友好度到达-誓约后<br/>在该友好部族商店商店花20万游戏币购买,,自由脑窟穴的做买卖从幼虫期一直精心培养长大的恐甲蚂蜓。最初是产在水边的卵中孵化出的幼虫，作为水栖昆虫度过幼年期后，会羽化蜕变为带有翅膀可以飞行的成虫。,0
068050.tex,004050.tex,3.1,1,双足飞龙,怪物狩猎-兵团成员的手册x6(500兵团徽章/本),,飞翔于云海之间的双足飞龙。千年以前曾和它的挚友骑士立下誓言，共同打倒了无数邪恶的魔物。龙诗战争爆发后，由于与人类的交流被断绝，它在悲愤之余决心寻找新的伙伴，继续未竟的魔物讨伐事业。,0
068049.tex,004049.tex,3.1,1,尼禄专用魔导装甲,道具商城购买,,加雷马帝国军第十四军团幕僚长尼禄·托尔·斯卡艾瓦的专用魔导装甲。经由优秀的机械师尼禄本人之手，强化了青磷引擎的功率和足部行走系统。通称“血红男爵”。,0
068048.tex,004048.tex,3.1,1,莉维亚专用魔导装甲,道具商城购买,,加雷马帝国军第十四军团军政官莉维亚·萨斯·尤尼乌斯的专用魔导装甲。作为在北州扩张战争中有着活跃表现的“达尔马斯卡魔女”的爱机而广为人知。通称“纯白恶魔”。,0
068047.tex,004047.tex,3.1,1,天马,云冠群岛-空贼黄铜通货x99兑换,,可以自由翱翔于天空的幻之马，在云冠群岛成为了冒险者的伙伴。人们曾经认为天马只存在于传说之中，但这一说法随着大航空时代的到来被证明是错误的。据说它还曾救助过云海遇难的空贼，作为一桩逸闻也流传甚广。,0
068046.tex,004046.tex,3.x,1,夕,夕兽讨伐大作战,,能够自由来往于现世和异界的魔兽。想当年在东方，众多豪杰聚集在一起都没能将其彻底消灭，后来却因为意外而变得特别害怕竹子的爆炸声。和外表的彪悍形象真是反差巨大。,0
068045.tex,004045.tex,3.07,1,魔女扫帚,第三年万圣节活动任务奖励,,南瓜头魔人赋予了这把扫帚庞大的魔力。跨上扫帚后，扫帚便会轻飘飘地浮上天空，然后就可以在空中自由翱翔了。当心情低落的时候，骑着扫帚出去飞一圈，想必心情就会好很多。,0
068044.tex,004044.tex,3.x,1,红大陆行鸟,水晶传承站,,在龙堡参天高地有一处秘境名为陆行鸟之森，在那里生活着多种野生陆行鸟，其中更是存在十分罕见的红色大鸟。在伊修加德，红色象征着纯爱与博爱，这种大鸟最适合与挚友一同乘坐了。,0
068043.tex,004043.tex,3.x,1,双塔尼亚,水晶传承站,,生于南方美拉西迪亚大陆的古代龙。通过“拘束环”控制住了精神，绝对不会反抗拥有认证密钥的人。,0
068042.tex,004042.tex,3.05,1,哥布林战车,通关亚历山大机工城零式:起动篇4层,,原本那些哥布林科学家想要制作的是一款能够代替盗龙搬运货物的机器。不过后来还是在机器上加上了武器投入到了战斗。而这台机器因为是战利品，武器已经卸掉了。,0
068041.tex,004041.tex,3.x,1,战豹,完成成就“毅然暗黑骑士”后获得,,专门为了战斗而训练的军用黑豹。与长须豹是同类生物，能够本能地利用魔力提高自己的身体能力。据传，初代暗黑骑士正是通过观察黑豹狩猎时的情况而领悟出了暗黑剑法。,0
068040.tex,004040.tex,3.x,1,破魔艇,完成主线Lv55“狩猎邪龙”后获得,,加隆德炼铁厂的魏吉和比格斯共同设计开发出的单人飞空艇，这可是史上第一架搭载偏属性水晶浮空装置的机体。,0
068039.tex,004039.tex,3.x,1,狮鹫,完成伟业补完计划；光与暗的历练/道具商城购买,,原产于阿巴拉提亚山脉的有翼魔兽。虽然性情十分凶悍，但是在阿拉米格能够从幼崽时期开始训练最终成为出色的坐骑。阿拉米格特有的魔兽军团便是由狮鹫骑兵所组成。,0
068038.tex,004038.tex,3.1,1,腾云蛇,瓦努族友好度到达-誓约后<br/>在该友好部族商店商店花20万游戏币购买,,衮杜族商人鲁纳瓦努费尽心血养育而成的腾云蛇。飞舞在云海上空时如同肆虐的狂风般刚强有力。它的主人鲁纳瓦努非常坚定地表示，在有资格骑上这只腾云蛇的勇者出现之前，别人开价多少他也不卖。,0
068037.tex,004037.tex,3.x,1,尘世幻龙,完成主线Lv59“展翅高飞”后获得,,世界最初之龙，所有龙族的始祖，尘世幻龙为了观察光之战士的行动而创造了这个分身。光之战士完成了所有的试炼，成功打破了龙爪的封印并取回了光之加护，尘世幻龙认为光之战士已经具备了与自己共同行动的资格，于是改变了分身的外形，让同行者能够乘上自己的背部以便今后的行动。,0
068036.tex,004036.tex,3.x,1,黑陆行鸟,完成主线Lv50“苍穹骑士”后获得,,原产自伊修加德的黑色陆行鸟。这一品种天生就是一身黑色的羽毛，有着能够飞行的能力。福尔唐家的骑士奥尔什方为了最重要的挚友亲手调教出了这只鸟，身上的肌肉充满了美感。,0
068035.tex,004035.tex,2.51,1,芬里尔,金碟币100万兑换奖品,,曾君临艾欧泽亚的古代野兽“霜狼”。原本人们都以为这种生物已经灭绝了，可近年来在阿巴拉提亚山脉深处再次发现了它们的身影。因其让人联想起清冷月光的鬃毛和凛然雄姿，人们常以传说中的幻兽芬里尔的名字来称呼它们。,0
068034.tex,004034.tex,2.51,1,精金龟,金碟币20万兑换奖品,,原产自近东地区的萨维奈岛，乌尔达哈的动物学家经过不断地尝试终于成功驯化了这种外来的野生生物，并通过咒术师行会的古代魔法再现实验，让其具备了飞翔的能力。,0
068033.tex,004033.tex,2.5,1,骑乘系统,完成成就“英雄凯旋”后获得,,圣寇伊纳克财团所挖掘出来的古代亚拉戈帝国球形防卫系统。经过调查之后再由尼禄将危险的武器都移除了下去，变成了纯粹的观赏物品。后来为了筹集研究经费而转卖给了罗薇娜。不过当初的调整好像有些小问题……时不时就会电两下……,0
068032.tex,004032.tex,2.5,1,麒麟,获得并使用火土风水雷冰6匹蛮神马笛后<br/>去魔杜纳完成任务“天降祥瑞”,,在东洲，无论什么人都知道万兽的主宰乃是天上的麒麟。人们相信这种传说中的仙兽已经生活了千年之久。虽然人类可以通过仙人制作的魔笛向麒麟发出呼唤，但是万兽之主仅会回应它认可的英雄。,0
068031.tex,004031.tex,2.45,1,典礼陆行鸟,钟情之誓-黄金或白金方案,,原产于伊修加德的大型陆行鸟。由于要在庄严的仪式上使用，养鸟人特地培养出了这种纯白的羽毛。同时严格的训练也使得这种陆行鸟拥有稳重的个性和健壮的体格，即使坐上两个人都不会有任何问题。,0
068030.tex,004030.tex,2.4,1,游行陆行鸟,完成成就“令人难忘2”后获得,,冒险者行会为了准备凯旋游行进行了很多的准备工作，他们向商人发出了“想要体型宽厚的陆行鸟”的订单，结果得到的却是这种结果……由于饲料费过于昂贵，所以这只鸟也就变成了奖励给优秀冒险者的奖品。,0
068029.tex,004029.tex,2.4,1,冰妖马玻瑞阿斯,希瓦歼殛战-稀有掉落,,受到冰神希瓦祝福的妖马，身披凛凛寒风。很可能是库尔札斯地区的独角兽得到了蛮神的祝福变化而成的。它在奔跑时甚至能够将沿途的空气冻结。,0
068028.tex,004028.tex,2.38,1,斯莱普尼尔,道具商城购买,,受到斗神奥丁祝福的妖马，身缠令人绝命的斗气。血红色的鬃毛给人带来无比的威压感。虽说这匹马在战场上无所畏惧，不过一旦它遇到认可的主人，甚至会迎合主人的体型改变自己的大小。,0
068027.tex,004027.tex,2.3,1,雷妖马玛卡布,拉姆歼殛战-稀有掉落,,受到雷神拉姆祝福的妖马，身缠撕裂天空的闪电。很可能是妖精族将妖马梦魇献祭给蛮神时产生出来的。它的嘶鸣会发出震撼空气的闪电。,0
